Date	Time	Open	High	Low	Close	TickVol	Vol	Spread
2024.12.01	00:00:00	96407.99	96672.49	96260	96340.6	0	0	0
2024.12.01	01:00:00	96340.61	96516	96044.21	96106.62	0	0	0
2024.12.01	02:00:00	96106.62	96518.88	95693.88	95776.22	0	0	0
2024.12.01	03:00:00	95776.22	96441.72	95770.03	96336.75	0	0	0
2024.12.01	04:00:00	96336.76	96515.52	96195.99	96515.52	0	0	0
2024.12.01	05:00:00	96515.51	96515.51	96284.51	96308.83	0	0	0
2024.12.01	06:00:00	96308.82	96483.98	96284.52	96327.66	0	0	0
2024.12.01	07:00:00	96327.65	96490.62	96299.1	96472.97	0	0	0
2024.12.01	08:00:00	96472.97	97179.04	96424.99	97048.01	0	0	0
2024.12.01	09:00:00	97048	97098.53	96853.82	97030.15	0	0	0
2024.12.01	10:00:00	97030.15	97036	96535.87	96811.99	0	0	0
2024.12.01	11:00:00	96811.99	97140	96811.99	97108.89	0	0	0
2024.12.01	12:00:00	97108.89	97130.56	96774.48	96774.49	0	0	0
2024.12.01	13:00:00	96774.48	97388.78	96660.88	97071.93	0	0	0
2024.12.01	14:00:00	97071.93	97332.88	96968.25	97289.78	0	0	0
2024.12.01	15:00:00	97289.77	97311.95	96960.51	97028.02	0	0	0
2024.12.01	16:00:00	97028.02	97333	97000	97187.98	0	0	0
2024.12.01	17:00:00	97187.98	97299.98	97035.02	97299.97	0	0	0
2024.12.01	18:00:00	97299.97	97523.41	97095.23	97118.69	0	0	0
2024.12.01	19:00:00	97118.69	97306.59	96958.48	97178.73	0	0	0
2024.12.01	20:00:00	97178.73	97200	96800.01	97099.99	0	0	0
2024.12.01	21:00:00	97099.99	97780	97052.16	97767.62	0	0	0
2024.12.01	22:00:00	97767.61	97836	97384	97562.56	0	0	0
2024.12.01	23:00:00	97562.56	97771.04	97170.5	97185.18	0	0	0
2024.12.02	00:00:00	97185.17	97613.08	97068.84	97436.75	0	0	0
2024.12.02	01:00:00	97436.75	98130	97405.26	97964.93	0	0	0
2024.12.02	02:00:00	97964.93	98050	97445.87	97644.76	0	0	0
2024.12.02	03:00:00	97644.75	97662.6	96350	96483.75	0	0	0
2024.12.02	04:00:00	96483.75	96841.27	96077	96708	0	0	0
2024.12.02	05:00:00	96708	96924	96349.01	96359.99	0	0	0
2024.12.02	06:00:00	96359.99	96434.02	96141.43	96279.99	0	0	0
2024.12.02	07:00:00	96279.99	96465.38	95749.97	95999.99	0	0	0
2024.12.02	08:00:00	95999.99	96112	94872	95053.66	0	0	0
2024.12.02	09:00:00	95053.66	95546.21	94967.32	95493.18	0	0	0
2024.12.02	10:00:00	95492.81	95496.75	94820.41	94972.01	0	0	0
2024.12.02	11:00:00	94972.01	95332.8	94868.33	95128.68	0	0	0
2024.12.02	12:00:00	95128.67	95407.64	94766	94972.02	0	0	0
2024.12.02	13:00:00	94972.03	95822.61	94837.77	95679.99	0	0	0
2024.12.02	14:00:00	95679.99	96814.73	95501	96321.27	0	0	0
2024.12.02	15:00:00	96321.27	97214.77	95701.53	97048	0	0	0
2024.12.02	16:00:00	97048.01	97356.69	96000	96167.46	0	0	0
2024.12.02	17:00:00	96167.45	96573	94395	94604.03	0	0	0
2024.12.02	18:00:00	94604.03	95839.44	94488	95646.14	0	0	0
2024.12.02	19:00:00	95646.13	95856.4	95157.12	95816	0	0	0
2024.12.02	20:00:00	95816.01	96327.87	95451.33	95666.66	0	0	0
2024.12.02	21:00:00	95666.66	95754.64	95345.05	95406.88	0	0	0
2024.12.02	22:00:00	95406.88	95529.34	95112.01	95372	0	0	0
2024.12.02	23:00:00	95372	95869.28	95328	95840.62	0	0	0
2024.12.03	00:00:00	95840.61	96105.26	95680	95804.03	0	0	0
2024.12.03	01:00:00	95804.04	95920.64	95454.54	95524.08	0	0	0
2024.12.03	02:00:00	95524.08	96305.52	95400	96035.49	0	0	0
2024.12.03	03:00:00	96035.48	96210.42	95916.02	96079.36	0	0	0
2024.12.03	04:00:00	96079.36	96220	95900	95920.64	0	0	0
2024.12.03	05:00:00	95920.64	96168	95848.36	96155.18	0	0	0
2024.12.03	06:00:00	96155.17	96238.1	95522.44	95632.22	0	0	0
2024.12.03	07:00:00	95632.22	95721.95	95277.35	95550	0	0	0
2024.12.03	08:00:00	95550	95662.94	95305.95	95528	0	0	0
2024.12.03	09:00:00	95528	95539.69	95158	95256.01	0	0	0
2024.12.03	10:00:00	95256	95482.63	94641.93	94697.9	0	0	0
2024.12.03	11:00:00	94697.9	95033.99	94595.38	94988.01	0	0	0
2024.12.03	12:00:00	94988	95005.67	94679.51	94813.58	0	0	0
2024.12.03	13:00:00	94813.59	94871.23	93670	93715.98	0	0	0
2024.12.03	14:00:00	93715.98	95448.97	93578.17	95235.25	0	0	0
2024.12.03	15:00:00	95235.25	96250	95100.36	95682.54	0	0	0
2024.12.03	16:00:00	95682.54	96169.99	94860	95112	0	0	0
2024.12.03	17:00:00	95112	95900	94882.83	95828	0	0	0
2024.12.03	18:00:00	95828.01	95828.01	95270.2	95481.15	0	0	0
2024.12.03	19:00:00	95481.15	95500	94939.77	95428.6	0	0	0
2024.12.03	20:00:00	95428.61	95680	95272.5	95615.06	0	0	0
2024.12.03	21:00:00	95615.06	96100	95545.82	96000	0	0	0
2024.12.03	22:00:00	96000.01	96140.01	95644.44	96117.76	0	0	0
2024.12.03	23:00:00	96117.76	96124.28	95811.31	95849.69	0	0	0
2024.12.04	00:00:00	95849.69	96027.35	95572.18	95746.42	0	0	0
2024.12.04	01:00:00	95746.41	96614.16	95449.98	96216	0	0	0
2024.12.04	02:00:00	96216	96223.34	95224.17	95788	0	0	0
2024.12.04	03:00:00	95788.01	95896	95548.75	95770.32	0	0	0
2024.12.04	04:00:00	95770.32	96050.1	95717.54	96024.8	0	0	0
2024.12.04	05:00:00	96024.8	96480.23	96016.68	96480.22	0	0	0
2024.12.04	06:00:00	96480.22	96714.41	96279.8	96539.68	0	0	0
2024.12.04	07:00:00	96539.69	96702.79	96404.54	96588.81	0	0	0
2024.12.04	08:00:00	96588.81	96810.12	96524.4	96687.53	0	0	0
2024.12.04	09:00:00	96687.53	96950	96661.53	96815.78	0	0	0
2024.12.04	10:00:00	96815.78	96836.1	96430	96512	0	0	0
2024.12.04	11:00:00	96511.99	96512	96172	96190.41	0	0	0
2024.12.04	12:00:00	96190.41	96277.71	95684.67	95967.98	0	0	0
2024.12.04	13:00:00	95967.98	96011.61	95352.41	95665.51	0	0	0
2024.12.04	14:00:00	95665.51	96560	95456.37	95822.99	0	0	0
2024.12.04	15:00:00	95822.99	96386.2	95411.47	95742.81	0	0	0
2024.12.04	16:00:00	95742.8	95820	94587.83	94847.81	0	0	0
2024.12.04	17:00:00	94847.81	95571.63	94685.51	95546.62	0	0	0
2024.12.04	18:00:00	95546.63	96225.48	95451	96111.01	0	0	0
2024.12.04	19:00:00	96111.01	97232.01	96043.65	97209.64	0	0	0
2024.12.04	20:00:00	97209.64	99000	97128.52	98747.97	0	0	0
2024.12.04	21:00:00	98747.96	98900	97416.59	97691.11	0	0	0
2024.12.04	22:00:00	97691.11	98598	97544	98174.61	0	0	0
2024.12.04	23:00:00	98174.6	99000	98164.01	98587.32	0	0	0
2024.12.05	00:00:00	98587.32	98799	98212.53	98296.01	0	0	0
2024.12.05	01:00:00	98296.01	98648.47	97888.89	98179.14	0	0	0
2024.12.05	02:00:00	98179.14	101616.22	98138.23	101248.19	0	0	0
2024.12.05	03:00:00	101248.19	104088	101248.19	102964	0	0	0
2024.12.05	04:00:00	102964	103544.71	102484	103339.96	0	0	0
2024.12.05	05:00:00	103339.96	103455.13	101706.35	102450.01	0	0	0
2024.12.05	06:00:00	102450.01	102662.46	101421.59	101904.02	0	0	0
2024.12.05	07:00:00	101904.02	102560.76	101324.16	102236.1	0	0	0
2024.12.05	08:00:00	102236.1	102899.99	102236.1	102764	0	0	0
2024.12.05	09:00:00	102764.01	103159.76	102565.63	102698.24	0	0	0
2024.12.05	10:00:00	102698.25	102920	102260	102280.62	0	0	0
2024.12.05	11:00:00	102280.62	102672.84	102237.79	102566.91	0	0	0
2024.12.05	12:00:00	102566.91	103295.99	102452.95	102846.15	0	0	0
2024.12.05	13:00:00	102846.16	103250	102684.73	102753.9	0	0	0
2024.12.05	14:00:00	102753.91	103550	102280	103507.99	0	0	0
2024.12.05	15:00:00	103508	103540	100925.97	101292.01	0	0	0
2024.12.05	16:00:00	101292	101999	100568.02	101037.51	0	0	0
2024.12.05	17:00:00	101037.5	101356	100533.41	101282.36	0	0	0
2024.12.05	18:00:00	101282.37	101521.14	100172.67	100179.24	0	0	0
2024.12.05	19:00:00	100179.24	100932	98599.36	99028	0	0	0
2024.12.05	20:00:00	99028.01	99424	97888	99072.84	0	0	0
2024.12.05	21:00:00	99072.84	99479.72	98801.93	98908.02	0	0	0
2024.12.05	22:00:00	98908.01	99040	90500	96589.04	0	0	0
2024.12.05	23:00:00	96589.03	97457.55	95340	96945.63	0	0	0
2024.12.06	00:00:00	96945.63	97757.51	95981.72	97551.99	0	0	0
2024.12.06	01:00:00	97551.99	98828.7	97109.68	98118.38	0	0	0
2024.12.06	02:00:00	98118.38	98161.07	97473.68	97589.74	0	0	0
2024.12.06	03:00:00	97589.75	97752.14	97186.27	97735.29	0	0	0
2024.12.06	04:00:00	97735.29	97972.85	97370.19	97877.5	0	0	0
2024.12.06	05:00:00	97877.51	98266.66	97633.26	97864.01	0	0	0
2024.12.06	06:00:00	97864.02	98275.9	97755.09	98079.96	0	0	0
2024.12.06	07:00:00	98079.97	98288	97759.74	98138.54	0	0	0
2024.12.06	08:00:00	98138.53	98705.23	98013.93	98345.38	0	0	0
2024.12.06	09:00:00	98345.38	98542.33	97927.22	98000	0	0	0
2024.12.06	10:00:00	98000	98186	97622.86	98124.78	0	0	0
2024.12.06	11:00:00	98124.79	98320	97812.42	98069.62	0	0	0
2024.12.06	12:00:00	98069.61	98382.36	97512.26	97636.29	0	0	0
2024.12.06	13:00:00	97638.55	98913.46	97512.26	98591.99	0	0	0
2024.12.06	14:00:00	98591.99	99483.81	98346.19	99481.69	0	0	0
2024.12.06	15:00:00	99481.68	99483.81	98568.82	99309.99	0	0	0
2024.12.06	16:00:00	99310	99500	98762.6	99004.07	0	0	0
2024.12.06	17:00:00	99004.06	101250	98882.58	100844.05	0	0	0
2024.12.06	18:00:00	100844.06	101766.48	100588.23	101363.95	0	0	0
2024.12.06	19:00:00	101363.95	101799	101120.16	101439.99	0	0	0
2024.12.06	20:00:00	101439.99	101898.99	101056	101360	0	0	0
